,ric
363,FR0013310224=
364,FR0013217114=
365,FR0013241536=
366,FR0013359239=
367,FR0013359197=
368,FR016140252=
369,FR054145314=
370,FR0011560077=
371,FR079424501=
372,FR0013421823=
373,FR0013444676=
374,FR0013444684=
375,FR0013444692=
376,FR091397919=
377,FR0013506292=
378,FR0013506300=
379,FR0013396520=
380,FR0013396496=
381,DELB00CM=
382,DELB0088=
383,DE173464096=
384,DE162619128=
385,DELB1A7B=
386,DELB1P9C=
387,DE149597158=
388,DELB1M2X=
389,DELB1B2R=
390,DELB1P1C=
391,DE124673224=
392,DELB1D1F=
393,DELB1B1Z=
394,DELB1DSM=
395,DELB1DRT=
396,DELB1B1Q=
397,DELB1DS2=
398,DE200119991=
399,DE203332157=
400,DE205673130=
401,FR0014000C81=
402,FR0014000C73=
403,FR0011502814=
404,FR0012059202=
405,FR0012448025=
406,FR0013266368=
407,FR0013322989=
408,FR0012790327=
409,FR0013284205=
410,FR0013266350=
411,FR0013205069=
412,FR0013422227=
413,FR0012383842=
414,ES224793634=
415,ES211388935=
416,ES175100423=
417,ES41379044=
418,ES189749694=
419,ES181634634=
420,ES173559801=
421,ES058992020=
422,ES147169361=
423,ES089394350=
424,ES155726822=
425,ES095190642=
426,ES095190880=
427,ES216864735=
428,ES41390066=
429,ES41390067=
430,ES219437072=
431,ES41390068=
432,ZA224989440=
433,ZA224989032=
434,ZA221118375=
435,ZA221118324=
436,ZA221111494=RRPS
437,ZA221111532=RRPS
438,FR00140007J7=
439,FR00140003P3=
440,FR067657268=
441,FR081913030=
442,FR095492878=
443,FR098229124=
444,FR099777583=
445,FR104555381=
446,FR106954976=
447,FR116620103=
448,FR134611529=
449,FR154880291=
450,FR128885854=
451,FR158791145=
452,FR185683460=
453,FR176586362=
454,FR138594513=
455,FR171735556=
456,FR129297441=
457,FR161783102=
458,FR159178463=
459,FR151267700=
460,FR175012222=
461,FR185683354=
462,FR182424013=
463,FR187110629=
464,FR0013476553=
465,FR0013504727=
466,FR0013515749=
467,DEDB9U2S=
468,DEDB9U2P=
469,DE201115175=
470,DEDB9U2K=
471,DEDB9U3E=
472,DEDB7XGS=
473,DEDB2GRX=RRPS
474,DEDB2GRZ=
475,DEDB2GSA=
476,DEDB2GSB=
477,DEDB2GSE=
478,DEDB2GTD=
479,DEDB2GSN=
480,DEDB9UDR=
481,DEDB2GZF=
482,DEDM338J=
483,DEDB9UJV=
484,DEDB2G1X=
485,DEDB9T6E=
486,DEDE04WZ=
487,DEDB9TUL=
488,DEDB2G19=
489,DEDB9TTH=
490,DEDB9UDB=
491,DEDB2GWQ=
492,DE175110933=
493,DEDB2GWJ=
494,DEDE04XQ=
495,DEDE04WV=
496,DE155174137=
497,DEDB2G0T=
498,DEDB9UGR=
499,DEDE04Y8=
500,DEDB9TZX=
501,DEDB9T7H=
502,DEDB2G3T=
503,DEDB9T0G=
504,DEDB9UJE=
505,DEDB9T1R=
506,DEDE04YJ=
507,DE136913263=
508,DEDB9TTZ=
509,DE175110402=
510,DEDB2G20=
511,DEDB9UKE=
512,DEDB9UHA=
513,DEDB2GSU=
514,DEDM338Q=
515,DEDB9UKT=
516,DEDE04XB=
517,DEDB9T9T=
518,DEDB9UAR=
519,DEDM338F=
520,DEDB9UEP=
521,DEDB9T3A=
522,DEDB7XLH=
523,DEDB9T1F=
524,DEDB2GXK=
525,DEDE04Y1=
526,DEDE04YS=
527,DEDB2G2S=
528,DEDB9UFK=
529,DEDB2G3A=
530,DEDE04YY=
531,DEDM338L=
532,DEDB9TWR=
533,DEDB9UHU=
534,DEDE04YX=
535,DEDB9UKJ=
536,DEDB9TXE=
537,DEDB9TXQ=
538,DEDE04W6=
539,DEDB9UFP=
540,DEDB9TZH=
541,DEDB9UJM=
542,DEDB9T3L=
543,DEDE04XJ=
544,DEDB9UDA=
545,DEDB9UDH=
546,DEDB9T1Z=
547,DEDB9UEA=
548,DEDB2G09=
549,DEDB9TUX=
550,DEDB9T2H=
551,DEDB7XJP=
552,DEDB9UHK=
553,DEDB2GRS=
554,DEDB2GSC=
555,DEDE04YL=
556,DEDB9T5S=
557,DEDB2GUX=
558,DEDE04ZA=
559,DEDB9TYV=
560,DEDE04W2=
561,DEDB2GTN=
562,DEDB9TVU=
563,DEDB9TYF=
564,DEDB9UEU=
565,DEDM338K=
566,DE195086508=
567,DEDB5DCS=
568,DEDB7XJB=
569,DE210295054=
570,DEDB7XNA=
571,DEDB7XLP=
572,DE000DL19U56=TE
573,DE216295579=
574,DEDB9U1K=
575,DEDB9U1P=
576,DEDB9U1S=
577,DEDB9U1U=
578,DEDB9U1Z=
579,DE195086516=
580,DE195086486=
581,DEDB9U2E=
582,CH223160492=
583,CH223165125=
584,CH223165141=
585,CH223163327=
586,CH223163289=
587,CH223167977=
588,CH223180302=
589,CH223170013=
590,CH223180272=
591,CH224207328=
592,CH224207336=
593,CH223163599=
594,CH224208448=
595,CH223161600=
596,CH223161901=
597,CH223169210=
598,CH224207468=
599,CH223160514=
600,CH223160484=
601,CH224214120=
602,CH223167195=
603,CH223168515=
604,CH222323576=
605,CH219805357=
606,CH222324157=
607,CH222325595=
608,CH222328276=
609,CH222329027=
610,CH222329060=
611,CH222328977=
612,CH222327539=
613,CH222323444=
614,CH222328985=
615,CH222329019=
616,CH222331706=
617,CH221022416=
618,CH222331498=
619,CH221027566=
620,CH221027876=
621,CH221031644=
622,CH221028252=
623,CH219809433=
624,CH221032683=
625,CH221031539=
626,CH219808640=
627,CH219811314=
628,CH218854630=
629,CH219810652=
630,CH219811241=
631,CH219811292=
632,CH218855946=
633,CH218855997=
634,CH218859534=
635,CH219811586=
636,CH219811721=
637,CH142876973=
638,CH111547955=
639,CH217668654=
640,CH139245938=
