,ric
1459,FR0013201621=
1460,FR0013324340=
1461,FR0013324373=
1462,FR0013409836=
1463,FR0013409844=
1464,FR0013409851=
1465,FR0013505112=
1466,FR0013505104=
1467,CH082653112=
1468,CH096979568=
1469,CH113278994=
1470,CH170707532=
1471,CH170707524=
1472,CH131965290=
1473,CH170707494=
1474,NL122586863=
1475,NL129243198=
1476,NL113863889=
1477,AT184411458=
1478,LU161634107=
1479,AT184410206=
1480,LU161634158=
1481,LU142127377=
1482,AT209325403=
1483,AT209325411=
1484,AT215858243=RRPS
1485,AT215859282=RRPS
1486,DE086294150=
1487,DE086295229=
1488,DE097749663=
1489,DE138866173=
1490,DEA2G87D=
1491,DE138866165=
1492,DE173453337=
1493,DE191735862=
1494,DE217712254=
1495,DE217712262=
1496,DE217712289=
1497,DE152951558=
1498,DE142527448=
1499,DE138717437=
1500,FR0013153707=
1501,FR0013245586=
1502,FR0013323326=
1503,FR0013447166=
1504,FR0013512944=
1505,NL115080326=
1506,NL155098651=
1507,NL138866394=
1508,NL138866459=
1509,FR043984560=
1510,FR0010913780=
1511,FR0011048966=
1512,FR0011585215=
1513,FR0013248523=
1514,FR0013173432=
1515,FR0013283140=
1516,FR0012949923=
1517,FR0013359254=
1518,FR0013248507=
1519,FR0013452620=
1520,FR0013505542=
1521,FR0013512449=
1522,LU078660678=
1523,LU179620863=
1524,LU207581178=
1525,LU219631774=
1526,GB157683772=
1527,GB179322463=
1528,GB157683837=
1529,GB138428109=
1530,NL079297798=
1531,NL085475908=
1532,NL140016713=
1533,NL201438284=
1534,NL218752594=
1535,NL218752284=
1536,DE045286878=
1537,DE075314370=
1538,DE085603221=
1539,DE162660004=
1540,DE055497532=
1541,XS1441835417=TE
1542,DE177237477=
1543,DE193613977=
1544,DE137291169=
1545,DE104538649=
1546,DE096936893=
1547,DE175247572=
1548,DE130951899=
1549,DE191086449=
1550,DE131642008=
1551,DE188560881=
1552,DE149372458=
1553,DE052447135=
1554,DE063224111=
1555,DE098838490=
1556,DE144183754=
1557,DE210238077=
1558,DE211746262=
1559,DE213661345=
1560,DE215293254=
1561,DE215676854=
1562,DE219366604=
1563,DE219366612=
1564,US190919315=
1565,US162262122=
1566,US162262424=
1567,US162263013=
1568,US190919331=
1569,AU133370269=
1570,AU167693393=
1571,AU167693385=
1572,AU150639697=
1573,AU150639824=
1574,AU185679721=
1575,AU185679730=
1576,XS0953569661=TE
1577,US142191474=
1578,US098271368=
1579,US113640634=
1580,US142191504=
1581,88579YAM3=
1582,88579YAN1=
1583,US151305555=
1584,US151306241=
1585,US102894197=
1586,US102894111=
1587,US102894189=
1588,GB182282812=
1589,GB168151918=
1590,GB182282979=
1591,GB168152035=
1592,GB022238302=
1593,GB114760579=
1594,GB205462651=
1595,GB205462678=
1596,GB217060940=
1597,GB141140485=
1598,GB141140442=
1599,GB141140370=
1600,GB114348686=
1601,US143522946=
1602,XS1435229890=TE
1603,US173406690=
1604,US173406681=
1605,GB148559732=
1606,GB137918200=
1607,GB137918447=
1608,AU122500446=
1609,AU122495540=
1610,AU078778644=
1611,AU083438592=
1612,AU092499880=
1613,US182188310=
1614,US198938017=
1615,XS2072829950=TE
1616,US207282979=
1617,US207609986=
1618,198938050=
1619,US119935695=
1620,US161104264=
1621,US107007598=
1622,US141041754=
1623,US173432879=
1624,JP128833552=
1625,JP172063977=
1626,JP172064213=
1627,JP088136250=
1628,JP110789076=
1629,JP117148939=
1630,JP210294899=
1631,NL149245804=
1632,NL149245766=
1633,NL149245723=
1634,US154879242=
1635,US154879285=
1636,US120067907=
1637,US138033414=
1638,US138033422=
1639,US120067095=
1640,US120067966=
1641,US213305611=
1642,US152089953=
1643,US152090781=
1644,US205564691=
1645,US205564721=
1646,US157774778=
1647,US119650313=
1648,US132582521=
1649,US111285012=
1650,US157796208=
1651,US199821539=
1652,US199821555=
1653,US153277974=
1654,US207910589=
1655,US153276587=
1656,US156717380=
1657,US156717428=
1658,US177172316=
1659,US176677589=
1660,US176677546=
1661,US176677562=
1662,US176677554=
1663,US131982054=
1664,US131981457=
1665,US203462646=
1666,US203462913=
1667,US193706088=
1668,US182250627=
1669,US153134537=
1670,US153134766=
1671,US184344351=
1672,US184344319=
1673,US184344378=
1674,US184344408=
1675,US045313395=
1676,US105452845=
1677,US105453442=
1678,BR071697959=
1679,BR083589035=
1680,BR098271198=
1681,BR098271171=
1682,US092288536=
1683,US100174928=
1684,US100174910=
1685,US102895509=
1686,US102895487=
1687,US123495357=
1688,US123495390=
1689,US184343525=
1690,US184343479=
1691,US184343517=
1692,DE196474064=
1693,DEA2LQRS=
1694,DE202471609=
1695,DE202471579=
1696,DE208922602=
1697,DE196474048=
1698,US193935664=
1699,US204954844=
1700,US148574839=
1701,US179250586=
1702,US212514586=
1703,US191450264=
1704,US208763962=
1705,US208764365=
1706,US208762206=
1707,US191450230=
1708,US191448553=
1709,US124075106=
1710,US124075122=
1711,US124075076=
1712,US207593800=
1713,US207593737=
1714,US132702845=
1715,US132702799=
1716,US132705593=
1717,US111729948=
1718,US141985809=
1719,US216612230=
1720,US216612248=
1721,DE119520053=
1722,DE137661136=
1723,DE157507869=
1724,DE205093354=
1725,DE195508798=
1726,FR0013209715=
1727,FR0013378460=
1728,FR0013378452=
1729,FR0013378445=
1730,DESYM778=
1731,DE200557891=
1732,DE219509642=
1733,ES21330705=
1734,ES21330706=
1735,ES31330721=
1736,DE205166718=
1737,DE205643087=
1738,DE217858615=
1739,DE129169389=
1740,DE121881152=
1741,DE121881233=
1742,IT021496596=
1743,IT048610102=
1744,IT102095243=
1745,IT120918516=
1746,IT141986988=
1747,IT193525636=
1748,IT198281999=
1749,DE099794135=
1750,DE159141667=
1751,DE185483088=
1752,DE079422258=
1753,DK047378389=
1754,DK082911499=
1755,DK172176054=
1756,SE158412217=
1757,SE119811767=
1758,SE094209480=
1759,SE158412276=
1760,SE158412268=
1761,SE141963686=
1762,SE211316756=
1763,DE161641103=
1764,DE161641006=
1765,DE161641111=
1766,DE204750092=
1767,DE204750076=
1768,DE206938099=
1769,DE206938048=
1770,DE207754668=
1771,DE209121620=
1772,DE210301500=
1773,DE210301429=
1774,DE210301445=
1775,DE215289958=
1776,DE217757517=
1777,DE217758050=
1778,DE217758025=
1779,DE119111617=
1780,DE219428294=
1781,DE219419252=
1782,DE219428383=
1783,DE219428367=
1784,FR103080754=
1785,FR0012949949=
1786,FR0013233384=
1787,FR0013399029=
1788,FR074062431=
1789,FR083303662=
1790,FR0013222494=
1791,FR0013507654=
1792,FR099363339=
1793,FR111304670=
1794,FR161915114=
1795,FR161915165=
1796,FR195684979=
1797,FR195684928=
1798,FR211668962=
1799,FR211669047=
1800,FR211669071=
1801,FR211669101=
1802,FR215345882=
1803,FR105423560=
1804,FR111686661=
1805,FR140775207=
1806,FR159166198=
1807,FR120940686=
1808,FR0013512407=
1809,FR0013512381=
1810,FR0011689033=
1811,FR0013230943=
1812,FR0013342334=
1813,FR0013281888=
1814,FR0013139482=
1815,NL097253056=
1816,NL140578096=
1817,NL152755619=
1818,NL140577499=
1819,NL201003237=
1820,NL216621972=
1821,FR077660402=
1822,FR098730559=
1823,FR0013247202=
1824,FR0012599892=
1825,FR0013385655=
1826,FR0013518537=
1827,NL104177298=
1828,NL121518198=
1829,NL129308770=
1830,NL149537350=
1831,NL219397925=
1832,NL219397836=
1833,FR0013521960=
1834,PT108775700=
1835,PT171909074=
1836,PT219046049=
1837,FR0012199156=
1838,FR0012516417=
1839,FR0013213709=
1840,FR0013417128=
1841,FR090679210=
1842,FR142902737=
1843,FR0013330115=
1844,FR0013311347=
1845,FR0013479748=
1846,FR0013512969=
1847,BE090414895=
1848,BE105215231=
1849,BE0002273424=
1850,BE0002237064=
1851,NL120425471=
1852,NL155098856=
1853,NL162335545=
1854,NL181511699=
1855,NL167176038=
1856,NL181511656=
1857,NL200117565=
1858,NL214937921=
1859,NL214936852=
1860,GB129242566=
1861,GB152553684=
1862,GB205054383=
1863,GB165251245=
1864,GB129144882=
1865,GB205177787=
1866,DE085516752=
1867,DE150136342=
1868,DE182074853=
1869,DE150136792=
1870,FR0013444551=
1871,FR0013444502=
1872,FR0013444536=
1873,FR0013444544=
1874,ES202058175=
1875,ES202058094=
1876,ES132253650=
1877,US184343428=
1878,US184343401=
1879,US184343410=
1880,NL205231005=
1881,NL137398770=
1882,NL205231382=
1883,US184345986=
1884,US131981732=
1885,US184345978=
1886,CH178579576=
1887,CH201210291=
1888,CH209160471=
1889,CH178581325=
1890,CH201210267=
1891,CH209160633=
1892,US191607325=
1893,US191568974=
1894,US199990250=
1895,US211485256=
1896,US211485221=
1897,US211485272=
1898,US212248584=
1899,US212293369=
1900,US212248606=
1901,FR0011567460=
1902,FR0011624287=
1903,FR0011677657=
1904,FR0011770809=
1905,FR0011856061=
1906,FR169818258=
1907,FR181206730=
1908,FR181201118=
1909,FR132873356=
1910,FR219025203=
1911,US219632215=
1912,US219632240=
1913,US219632231=
1914,US219632401=
